event_name,event_subtitle,description,exhibited_products,parser_notes,date_start,date_end,date_range_display,city,venue_name,venue_address,themes,tags,member_count,visitor_count,expomap_url,external_url,canceled,status,parse_status,missing_fields,source_page
СтрайкКон 2026,Выставка-ярмарка и фестиваль военно-тактических игр,,"Военно-тактические игры<br />
Страйкбол<br />
Пейнтбол<br />
Лазертаг<br />
Игровое оружие<br />
Военная форма<br />
Защитное и тактическое снаряжение<br />
Пиротехника<br />
Радиосвязь<br />
Оптика",,2026-02-07T00:00:00,2026-02-08T23:59:59.999999,2026-02-07T00:00:00 — 2026-02-08T23:59:59.999999,Москва,ТВК «Тишинка»,"Тишинская площадь, Москва, Россия, 123056","Развлечения, шоу-бизнес и СМИ",Развлечения; Игры; Игровые технологии; Технологии виртуальной реальности; Интерактивные развлечения,100,5000,https://expomap.ru/expo/strajkkon/,,no,active,ok,,1
Продэкспо 2026,"выставка продуктов питания, напитков и сырья для их производства",,"<p>Молочная продукция<br />
Мороженое<br />
Полуфабрикаты. Замороженные продукты<br />
Напитки<br />
Офощи и фрукты<br />
Чай и кофе<br />
Бакале<br />
Готовая еда<br />
Пищевые добавки<br />
Рыба и морепродукты<br />
Продкты ЗОЖ. Спортивное питание<br />
Детское питание<br />
Кондитерские изделия<br />
Снэки<br />
Алкогольная и табачная продукция<br />
Корм для животных<br />
Упаковка<br />
Стеклотара</p>",,2026-02-09T00:00:00,2026-02-12T23:59:59.999999,2026-02-09T00:00:00 — 2026-02-12T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Алкогольная и табачная продукция; Пищевая индустрия; Сельское хозяйство,Напитки; Рыба; Табачные изделия; Вино; Чай; Кофе; Пищевые добавки; Фрукты и овощи; Деликатесы; Пищевые ингредиенты; Молочная индустрия; Мороженое; Корма,,,https://expomap.ru/expo/prodexpo/2026/,,no,active,ok,,1
Измайлово Шуз 2026,"Специализированная выставка обуви, аксессуаров",,"<p>Обувь<br />
Сумки<br />
Аксессуары<br />
Кожа; и комплектующие<br />
Детская обувь</p>",,2026-02-09T00:00:00,2026-02-22T23:59:59.999999,2026-02-09T00:00:00 — 2026-02-22T23:59:59.999999,Москва,,,Мода и стиль,Сумки; Кожгалантерея; Обувь; Детская мода; Аксессуары,,,https://expomap.ru/expo/izmajlovo-shuz/,,no,active,ok,venue_address; venue_name,1
Скрепка Экспо 2026,Международная мультитематическая B2B выставка,,"Канцелярская и офисная продукция<br />
Школьный ассортимент<br />
Материалы для хобби и творчества<br />
Детских товаров<br />
Игры и игрушки<br />
Продукция для обучения<br />
Хозяйственные товары, подарки<br />
Сувенирная и представительская продукция<br />
Новогодний ассортимент<br />
Бумажно-беловая продукция<br />
Галантерея<br />
Письменные принадлежности<br />
Товары для хранения и архивации<br />
Детская литература<br />
Игры будущего<br />
Спорт и отдых<br />
Товары для мам и малышей<br />
Подарки<br />
Полиграфия<br />
Промопродукция<br />
Бытовая химия<br />
Офисная техника<br />
Посуда, текстиль, пластик<br />
Сезонные товары<br />
Хозтовары<br />
Демонстрационные и интерактивные технологии<br />
Компьютерное обучение<br />
Обучающая литература<br />
Программы обучения и центры<br />
Учебная мебель и принадлежности",,2026-02-10T00:00:00,2026-02-12T23:59:59.999999,2026-02-10T00:00:00 — 2026-02-12T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Детские товары; Туризм и отдых; Потребительские товары; Лесная промышленность; Товары для дома,Канцелярия; Товары для дома и подарки; Товары для офиса и канцелярские принадлежности; Новогодние подарки и украшения; Канцелярские принадлежности; Бумажные изделия; Подарки и сувениры; Хобби; Игрушки и игры; Товары для творчества,335,11625,https://expomap.ru/expo/skrepka-expo/,,no,active,ok,,1
Lingerie Show-Forum. Winter 2026,"международная выставка нижнего белья, купальников, домашней одежды и чулочно-носочных изделий",,"Нижнее белье<br />
Купальники и пляжная одежда<br />
Одежда для дома и отдыха<br />
Спортивное белье<br />
Чулочно-носочные изделия",,2026-02-16T00:00:00,2026-02-21T23:59:59.999999,2026-02-16T00:00:00 — 2026-02-21T23:59:59.999999,Москва,Event-Холл «ИнфоПространство»,(Не задано),Легкая промышленность; Мода и стиль; Промышленность,Мода; Спортивная одежда; Чулочно-носочные изделия; Нижнее белье; Купальники; Одежда для дома,350,3500,https://expomap.ru/expo/lingerie-show-forum/,,no,active,ok,,1
Мир Климата 26,"Международная выставка оборудования для систем кондиционирования, вентиляции, отопления и холодоснабжения",,"Вентиляционное оборудование<br />
Системы кондиционирования<br />
Системы холодоснабжения<br />
Системы отопления<br />
Оборудование для водоснабжения<br />
Инструмент, комплектующие, расходные материалы<br />
Автоматика и системы диспетчеризации<br />
Дымоудаление и пожаротушение<br />
Сервис и услуги",,2026-02-16T00:00:00,2026-02-19T23:59:59.999999,2026-02-16T00:00:00 — 2026-02-19T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Оборона и безопасность; Строительство; Энергетика,Климатическая техника; Холодильное оборудование; Отопительная техника; Системы кондиционирования; Энергосберегающие технологии; Противопожарные системы; Системы автоматизации и контроля; Энергосберегающие технологии; Монтажное оборудование,250,12500,https://expomap.ru/expo/mir-klimata/2026/feb/,,no,active,ok,,1
CJF – Детская мода 2026,"Международная выставка детской и юношеской моды, одежды для беременных",,,,2026-02-17T00:00:00,2026-02-19T23:59:59.999999,2026-02-17T00:00:00 — 2026-02-19T23:59:59.999999,Москва,Тимирязев Центр,"Верхняя аллея, 6, стр. 1",Детские товары; Мода и стиль,Обувь; Производство обуви; Детские товары; Мода; Одежда; Детская мода; Спортивная одежда; Одежда для будущих мам; Товары для будущих мам; Одежда для дома; Верхняя одежда; Аксессуары; Детская одежда и обувь,,,https://expomap.ru/expo/cjf-detskaja-moda/2026/feb/,,no,active,ok,,1
Textile Salon 2026,Выставка тканей и фурнитуры для производства одежды,,,,2026-02-17T00:00:00,2026-02-19T23:59:59.999999,2026-02-17T00:00:00 — 2026-02-19T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Легкая промышленность; Мода и стиль,Мода; Текстильный дизайн; Текстильная продукция; Аксессуары; Текстиль; Фурнитура; Экологичные материалы; Ткани; Женская и мужская одежда; Швейные изделия,,,https://expomap.ru/expo/textile-salon/2026/feb/,,no,active,ok,,1
Hospitality Online Expo 2026,,,"Оборудование<br />
Текстиль<br />
Мебель<br />
Услуги по обучению<br />
Консалтинг",,2026-02-17T00:00:00,2026-02-26T23:59:59.999999,2026-02-17T00:00:00 — 2026-02-26T23:59:59.999999,Москва,,,"Гостиничный бизнес, HoReCa",Гостиничное оборудование; HoReCa; Гостиничный бизнес,,,https://expomap.ru/expo/hospitality-online-expo/,,no,active,ok,venue_address; venue_name,1
dreams by CPM. Зима 2026,"Международная выставка индустрии модного белья, пляжной одежды и товаров для дома",,"Модные комплекты нижнего белья<br />
Домашняя одежда и мода для дома<br />
Эротическое бельё и костюмы<br />
Бижутерия<br />
Эротические аксессуары<br />
Одежда для будущих мам<br />
Модная одежда для активного отдыха<br />
Спортивные аксессуары и обувь.<br />
Пляжная и купальная мода<br />
Курортная одежда",,2026-02-17T00:00:00,2026-02-20T23:59:59.999999,2026-02-17T00:00:00 — 2026-02-20T23:59:59.999999,Москва,МВЦ «Крокус Экспо»,"МКАД 66 километр (внешн.), корпус 3, Москва, Россия, 125464",Легкая промышленность; Мода и стиль,Мода; Спортивная одежда; Нижнее белье; Одежда для дома; Аксессуары; Фурнитура; Пляжная мода; Швейные изделия,,,https://expomap.ru/expo/dreams-by-cpm/2026/feb/,,no,active,ok,,1
